Maverick Fork,33.9212,-109.4587,2810
Year,Month,Precip,AirT
,,mm,C
2018,10,58.42,4.949
2018,11,15.24,-0.37966
2018,12,68.58,-3.1374
2019,1,81.28,-3.6536
2019,2,215.9,-4.1099
2019,3,71.12,0.32351
2019,4,27.94,4.0786
2019,5,43.18,5.1233
